2026-07-13 23:50:06 | 127.0.0.1 | fkkg | Mengemaskini ubat: PERINACE
2026-07-13 23:50:37 | 127.0.0.1 | fkkg | Memadam ubat: PERINACE
2026-07-13 23:50:51 | 127.0.0.1 | fkkg | Memuat naik gambar baru bagi ubat: Prazosin
2026-07-13 23:51:28 | 127.0.0.1 | fkkg | Memuat naik gambar baru bagi ubat: Zylovaa
2026-07-13 23:51:42 | 127.0.0.1 | fkkg | Memuat naik gambar baru bagi ubat: Zylovaa
2026-07-13 23:52:01 | 127.0.0.1 | fkkg | Memadam satu gambar visual bagi ubat: Zylovaa
2026-07-13 23:53:36 | 127.0.0.1 | fkkg | Memuat naik gambar baru bagi ubat: Zylovaa
2026-07-13 23:56:07 | 127.0.0.1 | fkkg | Menambah ubat baru: TRIPLIXAM (10)
2026-07-13 23:56:29 | 127.0.0.1 | fkkg | Menambah ubat baru: MICARDIS PLUS (80MG)
2026-07-13 23:57:14 | 127.0.0.1 | fkkg | Menambah ubat baru: EXFORGE 10/160 (AMLODIPINE 10/VALSARTAN 160MG)
2026-07-14 00:01:06 | 127.0.0.1 | fkkg | Keluar dari sistem
2026-07-14 00:01:19 | 127.0.0.1 | fkkg | Masuk ke sistem
2026-07-14 00:04:10 | 127.0.0.1 | fkkg | Keluar dari sistem
2026-07-14 00:04:14 | 127.0.0.1 | fkkg | Masuk ke sistem
2026-07-14 00:04:32 | 127.0.0.1 | fkkg | Keluar dari sistem
2026-07-14 00:10:12 | 127.0.0.1 | fkkg | Masuk ke sistem
2026-07-14 00:10:46 | 127.0.0.1 | fkkg | Mengekstrak semua halaman PDF ke Desktop
2026-07-14 00:11:49 | 127.0.0.1 | fkkg | Memuat naik gambar baru bagi ubat: Bisocor
2026-07-14 00:11:56 | 127.0.0.1 | fkkg | Memadam satu gambar visual bagi ubat: Bisocor
2026-07-14 00:12:35 | 127.0.0.1 | fkkg | Keluar dari sistem
2026-07-14 00:18:22 | 127.0.0.1 | fkkg | Masuk ke sistem
2026-07-14 00:18:45 | 127.0.0.1 | fkkg | Keluar dari sistem
2026-07-14 00:24:39 | 127.0.0.1 | fkkg | Masuk ke sistem
2026-07-14 00:24:42 | 127.0.0.1 | fkkg | Keluar dari sistem
2026-07-14 21:28:24 | 127.0.0.1 | fkkg | Masuk ke sistem
2026-07-14 21:29:46 | 127.0.0.1 | fkkg | Mengemaskini ubat: TRIPLIXAM 10/2.5/10
2026-07-14 21:30:00 | 127.0.0.1 | fkkg | Memuat naik gambar baru bagi ubat: EXFORGE 10/160
2026-07-14 21:30:07 | 127.0.0.1 | fkkg | Memuat naik gambar baru bagi ubat: EXFORGE 10/160
2026-07-14 21:30:11 | 127.0.0.1 | fkkg | Memuat naik gambar baru bagi ubat: EXFORGE 10/160
2026-07-14 21:30:20 | 127.0.0.1 | fkkg | Memuat naik gambar baru bagi ubat: MICARDIS PLUS
2026-07-14 21:30:28 | 127.0.0.1 | fkkg | Memuat naik gambar baru bagi ubat: MICARDIS PLUS
2026-07-14 21:30:37 | 127.0.0.1 | fkkg | Memuat naik gambar baru bagi ubat: MICARDIS PLUS
